index,id,gender,car,property,children,income,income_type,education,marital_status,housing_type,age,employed_years,work_phone,phone,email,family_members,reject
78,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,34.0,10.0,1,0,0,3,1
79,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,0,0,0,2,1
80,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,0,0,0,2,1
81,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,38.0,4.0,0,0,0,2,1
82,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,51.0,3.0,0,0,0,2,1
83,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,56.0,7.0,1,1,0,2,1
84,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,35.0,6.0,0,0,0,3,1
85,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,42.0,2.0,0,0,0,2,1
86,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,0,0,0,2,1
87,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,29.0,1.0,0,0,0,2,1
88,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,1.0,0,0,0,4,1
89,5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,0,0,0,2,1
90,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,41.0,19.0,0,0,0,3,1
91,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,0,0,0,1,1
92,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,55.0,2.0,0,0,0,1,1
93,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,46.0,6.0,1,1,0,1,1
94,5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,52.0,22.0,0,0,0,2,1
95,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,45.0,2.0,0,0,0,1,1
96,5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,63.0,0.0,0,0,0,1,1
97,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54.0,19.0,0,0,0,2,1
98,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,53.0,1.0,0,0,0,1,1
99,5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,64.0,0.0,0,1,0,1,1
100,5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,64.0,0.0,0,1,0,2,1
101,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,1,1,0,3,1
102,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,31.0,5.0,1,1,0,3,1
103,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,0,0,0,2,1
104,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,0,0,0,2,1
105,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,0,0,0,2,1
106,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,9.0,0,0,0,2,1
107,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,9.0,0,0,0,2,1
108,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,1,0,0,1,1
109,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,40.0,2.0,1,0,0,1,1
110,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,48.0,20.0,0,0,0,6,1
111,5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,0,0,0,2,1
112,5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,0,0,0,2,1
113,5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,62.0,0.0,0,0,0,2,1
114,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,41.0,21.0,0,0,0,2,1
115,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,36.0,11.0,1,1,0,3,1
116,5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,61.0,0.0,0,1,0,1,1
117,5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,65.0,0.0,0,1,0,1,1
118,5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,0,0,0,2,1
119,5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,0,0,0,2,1
120,5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,0,0,0,2,1
121,5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,59.0,0.0,0,0,0,2,1
122,5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,59.0,0.0,0,0,0,2,1
123,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,3.0,0,1,0,2,1
124,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,38.0,0.0,0,0,0,2,1
125,5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,0,0,0,2,1
126,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,0,1,0,2,1
127,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,45.0,2.0,0,1,0,2,1
128,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,49.0,4.0,0,0,0,1,1
129,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,36.0,4.0,0,1,0,3,1
130,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,27.0,5.0,1,0,0,4,1
131,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,0,0,0,2,1
132,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,0,0,0,2,1
133,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,55.0,2.0,0,0,0,2,1
134,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,0,0,0,1,1
135,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,29.0,5.0,0,0,0,1,1
136,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,0,2,1
137,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,0,0,0,2,1
138,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,29.0,2.0,0,0,0,2,1
139,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,1,1,0,4,1
140,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,49.0,12.0,1,1,0,4,1
141,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,1,1,0,3,1
142,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,44.0,3.0,1,1,0,3,1
143,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,0,1,0,1,1
144,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,0,1,0,1,1
145,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,52.0,1.0,0,1,0,1,1
146,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,35.0,7.0,0,0,1,3,1
147,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,59.0,0.0,0,0,0,2,1
148,5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,0,0,0,2,1
149,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28.0,1.0,0,0,1,1,1
150,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,35.0,3.0,1,1,0,3,1
151,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,56.0,5.0,0,0,0,2,1
152,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,3.0,0,1,0,1,1
153,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,0,0,0,2,1
154,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,47.0,3.0,0,0,0,2,1
155,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,0,1,1,3,1
156,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,27.0,1.0,0,1,1,3,1
157,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,7.0,0,0,0,2,1
158,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,34.0,4.0,0,1,1,2,1
159,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,34.0,4.0,0,1,1,2,1
160,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,43.0,17.0,1,1,0,3,0
161,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.0,7.0,0,0,0,2,0
162,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,35.0,1.0,0,1,1,2,0
163,5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,56.0,26.0,0,1,0,2,0
164,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,45.0,8.0,0,0,1,3,0
165,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,40.0,8.0,0,0,0,3,0
166,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48.0,6.0,0,0,0,2,0
167,5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,66.0,0.0,0,0,0,1,0
168,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,31.0,2.0,1,0,0,2,0
169,5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,0,1,0,2,0
170,5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,57.0,0.0,0,0,0,2,0
171,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,29.0,5.0,1,0,0,3,0
172,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,59.0,5.0,0,0,1,2,0
173,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,0,0,0,1,0
174,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,40.0,2.0,0,0,0,1,0
175,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,29.0,2.0,0,0,0,1,0
176,5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.0,0.0,0,0,0,2,0
177,5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,45.0,0.0,0,0,0,2,0
178,5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,0,0,0,2,0
179,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,34.0,8.0,0,0,0,2,0
180,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,4.0,0,0,0,2,0
181,5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,65.0,0.0,0,0,0,2,0
182,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,40.0,9.0,0,0,0,2,0
183,5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,67.0,0.0,0,0,0,1,0
184,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,36.0,14.0,1,1,0,2,0
185,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,48.0,8.0,0,1,0,2,0
186,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,27.0,1.0,0,0,0,4,0
187,5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,53.0,7.0,0,0,0,1,0
188,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,28.0,2.0,0,0,0,2,0
189,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45.0,3.0,0,1,0,2,0
190,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,35.0,4.0,0,0,1,4,0
191,5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,47.0,20.0,1,1,0,2,0
192,5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,33.0,5.0,0,0,0,3,0
193,5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.0,7.0,0,0,0,2,0
194,5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,55.0,2.0,1,0,1,2,0
195,5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,39.0,8.0,1,1,0,4,0
196,5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,36.0,7.0,0,0,0,4,0
197,5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,29.0,5.0,0,1,0,2,0
198,5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,1.0,0,0,0,2,0
199,5067643,F,N,Y,0,171000.0,Pensioner,Higher education,Married,House / apartment,55.0,0.0,0,0,0,2,0
200,5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,52.0,4.0,1,0,0,2,0
201,5053637,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,60.0,0.0,0,0,0,1,0
202,5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,38.0,1.0,0,0,0,4,0
203,5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,32.0,6.0,0,1,0,1,0
204,5046283,F,N,Y,0,67050.0,Pensioner,Higher education,Married,House / apartment,67.0,0.0,0,0,0,2,0
205,5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,30.0,1.0,0,0,0,2,0
206,5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,39.0,19.0,0,0,0,4,0
207,5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,47.0,5.0,0,0,0,2,0
208,5117778,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,39.0,4.0,0,0,0,1,0
209,5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,34.0,10.0,0,0,0,2,0
210,5050655,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,40.0,3.0,1,1,0,2,0
211,5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,44.0,7.0,0,1,0,3,0
212,5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,27.0,7.0,0,0,0,2,0
213,5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,27.0,6.0,1,0,0,1,0
214,5143235,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,28.0,7.0,0,0,0,2,0
215,5132800,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,51.0,4.0,0,0,0,1,0
216,5090549,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,42.0,7.0,0,0,0,2,0
217,5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,27.0,6.0,0,0,0,3,0
218,5051061,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,4.0,0,1,0,4,0
219,5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,43.0,14.0,0,1,0,2,0
220,5028984,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,52.0,6.0,1,1,1,1,0
221,5126034,F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,47.0,3.0,0,0,1,1,0
222,5090470,M,N,Y,1,900000.0,Working,Secondary / secondary special,Married,House / apartment,42.0,12.0,0,0,0,3,0
223,5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,40.0,4.0,0,0,0,2,0
224,5046415,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,40.0,4.0,0,1,0,2,0
225,5065606,M,Y,N,0,270000.0,Pensioner,Higher education,Married,House / apartment,64.0,0.0,0,0,0,2,0
226,5117314,M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,46.0,5.0,0,0,0,3,0
